Bölüm,Kategori,Seri,Model,Kaynak Dosya,Özellikler
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,ENT.SRS1 230/3,ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 3 | L (mH): 57 | Irms (A): 12,83 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Yok | Boyut No: 9 | Çizim No: 1 | A (mm): 192 | B (mm): 163 | C (mm): 187 | D (mm): 140 | E (mm): 133 | Ağırlık (kg): 15,95"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,"ENT.SRS1.230/3,33",ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 3,33 | L (mH): 51 | Irms (A): 14,48 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Var | Boyut No: 9 | Çizim No: 1 | A (mm): 192 | B (mm): 163 | C (mm): 187 | D (mm): 140 | E (mm): 133 | Ağırlık (kg): 19,2"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,ENT.SRS1 230/5,ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 5 | L (mH): 33,7 | Irms (A): 21,74 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Yok | Boyut No: 10 | Çizim No: 2 | A (mm): 240 | B (mm): 125 | C (mm): 305 | D (mm): 120 | E (mm): 105 | Ağırlık (kg): 20,2"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,"ENT.SRS1.230/6,67",ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 6,67 | L (mH): 25,3 | Irms (A): 29 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Var | Boyut No: 10 | Çizim No: 2 | A (mm): 240 | B (mm): 125 | C (mm): 305 | D (mm): 120 | E (mm): 105 | Ağırlık (kg): 22,5"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,"ENT.SRS1 230/7,5",ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 7,5 | L (mH): 22,4 | Irms (A): 32,6 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Yok | Boyut No: 11 | Çizim No: 2 | A (mm): 240 | B (mm): 145 | C (mm): 305 | D (mm): 120 | E (mm): 125 | Ağırlık (kg): 25,6"
Kompanzasyon,Şönt Reaktörler,ENT.SRS1,ENT.SRS1.230/10,ent_srs_sont_reaktorleri.csv,"Faz: Tek Fazlı | kVAr: 10 | L (mH): 16,8 | Irms (A): 43,48 | İşletme Gerilimi: 230V 50Hz | SVC Özel: Var | Boyut No: 11 | Çizim No: 2 | A (mm): 240 | B (mm): 145 | C (mm): 305 | D (mm): 120 | E (mm): 125 | Ağırlık (kg): 28,5"
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,"ENT.SRS3 400/0,25",ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 0,25 | L (mH): 2040 | Irms (A): 0,36 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 1 | A (mm): 120 | B (mm): 68 | C (mm): 102 | D (mm): 100 | E (mm): 53 | F1 (mm): 12 | F2 (mm): 7 | G (mm): 125 | H (mm): 75 | Ağırlık (kg): 2,3"
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,"ENT.SRS3 400/0,5",ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 0,5 | L (mH): 1020 | Irms (A): 0,72 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 2 | A (mm): 150 | B (mm): 63 | C (mm): 127 | D (mm): 125 | E (mm): 48 | F1 (mm): 12 | F2 (mm): 7 | G (mm): 150 | H (mm): 70 | Ağırlık (kg): 3"
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,ENT.SRS3 400/1,ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 1 | L (mH): 505 | Irms (A): 1,44 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 3 | A (mm): 180 | B (mm): 93 | C (mm): 152 | D (mm): 150 | E (mm): 77 | F1 (mm): 12 | F2 (mm): 7 | G (mm): 175 | H (mm): 100 | Ağırlık (kg): 7,8"
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,"ENT.SRS3 400/1,5",ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 1,5 | L (mH): 336 | Irms (A): 2,17 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 4 | A (mm): 180 | B (mm): 103 | C (mm): 152 | D (mm): 150 | E (mm): 87 | F1 (mm): 12 | F2 (mm): 7 | G (mm): 175 | H (mm): 110 | Ağırlık (kg): 9,5"
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,ENT.SRS3 400/2,ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 2 | L (mH): 255 | Irms (A): 2,89 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 5 | A (mm): 240 | B (mm): 93 | C (mm): 203 | D (mm): 200 | E (mm): 87 | F1 (mm): 12 | F2 (mm): 7 | G (mm): 225 | H (mm): 210 | Ağırlık (kg): 11,6"
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,"ENT.SRS3 400/2,5",ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 2,5 | L (mH): 203 | Irms (A): 3,61 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 6 | A (mm): 240 | B (mm): 103 | C (mm): 203 | D (mm): 200 | E (mm): 87 | F1 (mm): 12 | F2 (mm): 7 | G (mm): 225 | H (mm): 220 | Ağırlık (kg): 11,9"
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,ENT.SRS3 400/3,ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 3 | L (mH): 170 | Irms (A): 4,33 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 7 | A (mm): 240 | B (mm): 103 | C (mm): 203 | D (mm): 200 | E (mm): 87 | F1 (mm): 12 | F2 (mm): 7 | G (mm): 225 | H (mm): 220 | Ağırlık (kg): 16,7"
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,ENT.SRS3 400/5,ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 5 | L (mH): 102 | Irms (A): 7,22 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 8 | A (mm): 300 | B (mm): 125 | C (mm): 253 | D (mm): 250 | E (mm): 105 | F1 (mm): 17 | F2 (mm): 9 | G (mm): 275 | H (mm): 145 | Ağırlık (kg): 22,5"
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,"ENT.SRS3 400/7,5",ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 7,5 | L (mH): 68 | Irms (A): 10,83 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 9 | A (mm): 300 | B (mm): 135 | C (mm): 255 | D (mm): 250 | E (mm): 115 | F1 (mm): 17 | F2 (mm): 9 | G (mm): 275 | H (mm): 155 | Ağırlık (kg): 32"
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,ENT.SRS3 400/10,ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 10 | L (mH): 51 | Irms (A): 14,43 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 10 | A (mm): 360 | B (mm): 136 | C (mm): 305 | D (mm): 300 | E (mm): 112 | F1 (mm): 17 | F2 (mm): 9 | G (mm): 305 | H (mm): 200 | Ağırlık (kg): 44"
Kompanzasyon,Şönt Reaktörler,ENT.SRS3,ENT.SRS3 400/15,ent_srs_sont_reaktorleri.csv,"Faz: Üç Fazlı | kVAr: 15 | L (mH): 34 | Irms (A): 21,65 | İşletme Gerilimi: 400V 50Hz | SVC Özel: Yok | Boyut No: 11 | A (mm): 420 | B (mm): 146 | C (mm): 355 | D (mm): 350 | E (mm): 122 | F1 (mm): 20 | F2 (mm): 13 | G (mm): 355 | H (mm): 260 | Ağırlık (kg): 53"
